,temperature,year,work,cloud_cover,sin_day,cos_day,cos_time,sin_time,sin_day_of_week,cos_day_of_week,last_day_load,last_week_load,day_load_mean,day_temperature_mean,last_hour_load,last_hour_temperature,last_hour_temperature,load,date,load_prediction
721,64.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,6.123233995736766e-17,1.0,0.8660254037844386,0.5000000000000001,1512.0,1476.0,1577.5,64.00000000000004,1626.0,64.0,64.0,1529.0,2017-02-28 06:00:00,1522.3821
722,64.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,6.123233995736766e-17,1.0,0.8660254037844386,0.5000000000000001,1512.0,1476.0,1573.4583333333333,64.00000000000004,1626.0,64.0,64.0,1529.0,2017-02-28 06:00:00,1522.0912
723,64.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,6.123233995736766e-17,1.0,0.8660254037844386,0.5000000000000001,1512.0,1476.0,1569.4166666666667,64.00000000000004,1626.0,64.0,64.0,1529.0,2017-02-28 06:00:00,1521.8043
724,64.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,6.123233995736766e-17,1.0,0.8660254037844386,0.5000000000000001,1512.0,1476.0,1565.375,64.00000000000004,1626.0,64.0,64.0,1529.0,2017-02-28 06:00:00,1521.5164
725,64.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,6.123233995736766e-17,1.0,0.8660254037844386,0.5000000000000001,1512.0,1476.0,1561.3333333333333,64.00000000000004,1626.0,64.0,64.0,1529.0,2017-02-28 06:00:00,1521.1908
726,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1553.5833333333333,63.95833333333337,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1432.1536
727,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1545.8333333333333,63.91666666666671,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1431.779
728,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1538.0833333333333,63.875000000000036,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1431.3868
729,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1530.3333333333333,63.83333333333337,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1430.974
730,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1522.5833333333333,63.79166666666671,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1430.5559
731,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1514.8333333333333,63.750000000000036,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1430.1384
732,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1507.0833333333333,63.70833333333337,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1429.7156
733,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1499.3333333333333,63.66666666666671,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1429.274
734,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1495.625,63.625000000000036,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1429.0731
735,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1491.9166666666667,63.58333333333337,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1428.8557
736,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1488.2083333333333,63.54166666666671,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1428.6354
737,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1484.5,63.500000000000036,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1428.3795
738,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1480.7916666666667,63.45833333333337,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1428.0878
739,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1477.0833333333333,63.41666666666671,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1427.7671
740,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1473.375,63.375000000000036,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1427.3556
741,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.25881904510252063,0.9659258262890683,0.8660254037844386,0.5000000000000001,1434.0,1401.0,1469.6666666666667,63.33333333333337,1529.0,64.0,64.0,1440.0,2017-02-28 07:00:00,1426.9403
742,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1463.7916666666667,63.29166666666671,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1360.1642
743,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1457.9166666666667,63.250000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1359.7491
744,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1452.0416666666667,63.20833333333337,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1359.3347
745,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1446.1666666666667,63.16666666666671,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1358.9222
746,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1440.2916666666667,63.125000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1358.5098
747,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1434.4166666666667,63.08333333333337,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1358.0973
748,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1428.5416666666667,63.04166666666671,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1357.632
749,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1422.6666666666667,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1357.1603
750,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1420.5,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1356.9763
751,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1418.3333333333333,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1356.7931
752,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1416.1666666666667,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1356.6095
753,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1414.0,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1356.4191
754,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1411.8333333333333,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1356.2234
755,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1409.6666666666667,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1356.0275
756,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1407.5,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1355.8318
757,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.4999999999999998,0.8660254037844387,0.8660254037844386,0.5000000000000001,1378.0,1350.0,1405.3333333333333,63.000000000000036,1440.0,63.0,63.0,1388.0,2017-02-28 08:00:00,1355.6361
758,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,1365.0,1312.0,1401.4583333333333,63.000000000000036,1388.0,63.0,63.0,1347.0,2017-02-28 09:00:00,1329.2626
759,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,1365.0,1312.0,1397.5833333333333,63.000000000000036,1388.0,63.0,63.0,1347.0,2017-02-28 09:00:00,1328.9786
760,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,1365.0,1312.0,1393.7083333333333,63.000000000000036,1388.0,63.0,63.0,1347.0,2017-02-28 09:00:00,1328.6951
761,63.0,2017,1,0.0,0.8498170915275278,0.5270777086423722,-0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,1365.0,1312.0,1389.8333333333333,63.000000000000036,1388.0,63.0,63.0,1347.0,2017-02-28 09:00:00,1328.3751
